# Time-averaged data for fix aveRg
# TimeStep c_Rg
10000 4.2289
20000 3.99041
30000 3.81962
40000 3.67317
50000 3.52528
60000 3.31548
70000 3.10993
80000 2.99092
90000 2.95895
100000 2.98706
110000 2.97716
120000 2.95635
130000 2.92737
140000 2.90715
150000 2.89615
160000 2.90562
170000 2.90014
180000 2.8969
190000 2.86735
200000 2.87651
210000 2.85819
220000 2.83706
230000 2.83049
240000 2.81014
250000 2.81532
260000 2.82263
270000 2.82422
280000 2.83188
290000 2.8394
300000 2.82079
310000 2.81048
320000 2.79917
330000 2.78395
340000 2.77228
350000 2.76632
360000 2.76636
370000 2.76421
380000 2.75219
390000 2.748
400000 2.73037
410000 2.71259
420000 2.69723
430000 2.6787
440000 2.66765
450000 2.65733
460000 2.65682
470000 2.66615
480000 2.6698
490000 2.66874
500000 2.66705
510000 2.66807
520000 2.66764
530000 2.6755
540000 2.67443
550000 2.68029
560000 2.67879
570000 2.67329
580000 2.66287
590000 2.65208
600000 2.64508
610000 2.64665
620000 2.65067
630000 2.65575
640000 2.66077
650000 2.66042
660000 2.66397
670000 2.65941
680000 2.65547
690000 2.65096
700000 2.64902
710000 2.64967
720000 2.64661
730000 2.64118
740000 2.63527
750000 2.62711
760000 2.63182
770000 2.63945
780000 2.65131
790000 2.65906
800000 2.6638
810000 2.66174
820000 2.65554
830000 2.65526
840000 2.65187
850000 2.64703
860000 2.64182
870000 2.63458
880000 2.62976
890000 2.63283
900000 2.64035
910000 2.64166
920000 2.6403
930000 2.63621
940000 2.64098
950000 2.64713
960000 2.65397
970000 2.6559
980000 2.65827
990000 2.6579
1000000 2.65813
1010000 2.65527
1020000 2.6518
1030000 2.648
1040000 2.64712
1050000 2.65197
1060000 2.65686
1070000 2.66135
1080000 2.66528
1090000 2.66492
1100000 2.65977
1110000 2.6552
1120000 2.65237
1130000 2.65044
1140000 2.65184
1150000 2.65212
1160000 2.6504
1170000 2.65052
1180000 2.65505
1190000 2.66005
1200000 2.66396
1210000 2.66616
1220000 2.66701
1230000 2.66601
1240000 2.66689
1250000 2.6725
1260000 2.67465
1270000 2.68012
1280000 2.68219
1290000 2.68661
1300000 2.69165
1310000 2.69333
1320000 2.69423
1330000 2.69329
1340000 2.69461
1350000 2.69585
1360000 2.69715
1370000 2.69455
1380000 2.69337
1390000 2.69384
1400000 2.695
