# Time-averaged data for fix aveRg
# TimeStep c_Rg
20000 13.8596
30000 13.1221
40000 12.5487
50000 12.163
60000 11.8663
70000 11.6265
80000 11.4038
90000 11.1463
100000 10.8684
110000 10.5702
120000 10.3398
130000 10.1738
140000 10.0447
150000 9.90982
160000 9.77469
170000 9.63774
180000 9.52081
190000 9.41235
200000 9.31404
210000 9.22887
220000 9.15611
230000 9.07818
240000 8.98381
250000 8.90837
260000 8.84307
270000 8.77439
280000 8.69762
290000 8.62832
300000 8.58498
310000 8.54473
320000 8.50041
330000 8.45788
340000 8.40842
350000 8.35586
360000 8.32556
370000 8.29993
380000 8.2844
390000 8.26461
400000 8.23402
410000 8.19722
420000 8.15644
430000 8.11263
440000 8.06663
450000 8.02314
460000 7.97901
470000 7.94494
480000 7.92473
490000 7.90475
500000 7.87362
510000 7.83269
520000 7.79785
530000 7.76092
540000 7.73102
550000 7.70614
560000 7.67314
570000 7.63728
580000 7.60432
590000 7.56726
600000 7.53257
610000 7.50425
620000 7.47936
630000 7.45439
640000 7.42331
650000 7.38888
660000 7.34912
670000 7.30938
680000 7.27542
690000 7.2411
700000 7.20596
710000 7.17511
720000 7.14727
730000 7.11541
740000 7.07992
750000 7.0406
760000 7.00181
770000 6.96089
780000 6.92676
790000 6.89638
800000 6.87322
810000 6.84659
820000 6.81634
830000 6.78291
840000 6.75432
850000 6.72292
860000 6.69378
870000 6.66554
880000 6.64141
890000 6.6186
900000 6.59464
910000 6.57579
920000 6.55827
930000 6.54246
940000 6.52584
950000 6.50933
960000 6.49501
970000 6.48266
980000 6.47584
990000 6.47026
1000000 6.46262
1010000 6.45362
1020000 6.44374
1030000 6.43361
1040000 6.42528
1050000 6.41616
1060000 6.40811
1070000 6.40246
1080000 6.40052
1090000 6.40161
1100000 6.39981
1110000 6.39602
1120000 6.39124
1130000 6.3868
1140000 6.38107
1150000 6.37606
1160000 6.37271
1170000 6.36618
1180000 6.36438
1190000 6.36045
1200000 6.35468
1210000 6.34816
1220000 6.3409
1230000 6.33305
1240000 6.32341
1250000 6.31239
1260000 6.30494
1270000 6.2963
1280000 6.28332
1290000 6.27171
1300000 6.26034
1310000 6.24925
1320000 6.23938
1330000 6.22864
1340000 6.2179
1350000 6.21152
1360000 6.20916
1370000 6.20865
1380000 6.20429
1390000 6.20283
1400000 6.20207
1410000 6.20085
1420000 6.19547
1430000 6.1913
1440000 6.18699
1450000 6.18317
1460000 6.17876
1470000 6.17167
1480000 6.1652
1490000 6.15875
1500000 6.15046
1510000 6.13967
1520000 6.13085
1530000 6.12123
1540000 6.1122
1550000 6.10087
1560000 6.08988
1570000 6.07962
1580000 6.072
1590000 6.0659
1600000 6.05772
1610000 6.05004
1620000 6.04139
1630000 6.03278
1640000 6.02483
1650000 6.02052
1660000 6.01518
1670000 6.00787
1680000 5.99843
1690000 5.98623
1700000 5.9752
1710000 5.96539
1720000 5.95567
1730000 5.9488
1740000 5.94186
1750000 5.93523
1760000 5.92819
1770000 5.92102
1780000 5.91502
1790000 5.9071
1800000 5.89903
1810000 5.889
1820000 5.87851
1830000 5.86874
1840000 5.86215
1850000 5.85852
1860000 5.85608
1870000 5.85325
1880000 5.84996
1890000 5.84461
1900000 5.83837
1910000 5.83332
1920000 5.82745
1930000 5.82066
1940000 5.81323
1950000 5.80706
1960000 5.79909
1970000 5.79128
1980000 5.78504
1990000 5.77998
2000000 5.77388
2010000 5.76542
2020000 5.7569
2030000 5.74766
2040000 5.73902
2050000 5.73318
2060000 5.72763
2070000 5.72152
2080000 5.71325
2090000 5.70633
2100000 5.70176
2110000 5.6959
2120000 5.69158
2130000 5.6875
2140000 5.6831
2150000 5.67906
2160000 5.67299
2170000 5.66798
2180000 5.66456
2190000 5.66314
2200000 5.66332
2210000 5.66291
2220000 5.66325
2230000 5.66214
2240000 5.66178
2250000 5.66306
2260000 5.66464
2270000 5.66674
2280000 5.67012
2290000 5.67145
2300000 5.67169
2310000 5.67054
2320000 5.66757
2330000 5.66384
2340000 5.6605
2350000 5.65826
2360000 5.65644
2370000 5.65779
2380000 5.65929
2390000 5.65922
2400000 5.65984
2410000 5.66033
2420000 5.6612
2430000 5.66304
