# Time-averaged data for fix aveRg
# TimeStep c_Rg
20000 10.8127
30000 10.3887
40000 9.95732
50000 9.60452
60000 9.35755
70000 9.17709
80000 9.00065
90000 8.84553
100000 8.67295
110000 8.51371
120000 8.42494
130000 8.39918
140000 8.38376
150000 8.32317
160000 8.24785
170000 8.2159
180000 8.17809
190000 8.11731
200000 8.06921
210000 8.00528
220000 7.9055
230000 7.78926
240000 7.68532
250000 7.61315
260000 7.53058
270000 7.45475
280000 7.40026
290000 7.33648
300000 7.27536
310000 7.21296
320000 7.15094
330000 7.09513
340000 7.04934
350000 7.00108
360000 6.96692
370000 6.92941
380000 6.90221
390000 6.88153
400000 6.87011
410000 6.8629
420000 6.83603
430000 6.8013
440000 6.76325
450000 6.72573
460000 6.67551
470000 6.62722
480000 6.58856
490000 6.55257
500000 6.51724
510000 6.4756
520000 6.43708
530000 6.39652
540000 6.36446
550000 6.33482
560000 6.30787
570000 6.27818
580000 6.24081
590000 6.20406
600000 6.17136
610000 6.14223
620000 6.11031
630000 6.08203
640000 6.06107
650000 6.04304
660000 6.02212
670000 5.9984
680000 5.97589
690000 5.96201
700000 5.94736
710000 5.92242
720000 5.90488
730000 5.88877
740000 5.87485
750000 5.8566
760000 5.8398
770000 5.82499
780000 5.81132
790000 5.80033
800000 5.78302
810000 5.75992
820000 5.73845
830000 5.72449
840000 5.71312
850000 5.70425
860000 5.69821
870000 5.69311
880000 5.68524
890000 5.67185
900000 5.65772
910000 5.64799
920000 5.63602
930000 5.62493
940000 5.61166
950000 5.59901
960000 5.5854
970000 5.56667
980000 5.54982
990000 5.53262
1000000 5.51763
1010000 5.50507
1020000 5.49333
1030000 5.48195
1040000 5.47636
1050000 5.47382
1060000 5.47492
1070000 5.47558
1080000 5.47384
1090000 5.47259
1100000 5.47415
1110000 5.48132
1120000 5.49223
1130000 5.50663
1140000 5.52192
1150000 5.53383
1160000 5.54409
1170000 5.54993
1180000 5.55709
1190000 5.56333
1200000 5.56798
1210000 5.56948
1220000 5.57211
1230000 5.57568
1240000 5.58105
1250000 5.58745
1260000 5.59657
1270000 5.60544
1280000 5.60896
1290000 5.60656
1300000 5.60208
1310000 5.59558
1320000 5.59094
1330000 5.5866
1340000 5.58046
1350000 5.57188
1360000 5.55861
1370000 5.54547
1380000 5.53491
1390000 5.52621
1400000 5.51511
1410000 5.50674
1420000 5.4982
1430000 5.48827
1440000 5.48177
1450000 5.47663
1460000 5.474
1470000 5.47156
1480000 5.46764
1490000 5.46591
1500000 5.46379
1510000 5.45916
1520000 5.45081
1530000 5.44066
1540000 5.4328
1550000 5.42504
1560000 5.41729
1570000 5.40805
1580000 5.3993
1590000 5.38802
1600000 5.37701
1610000 5.36611
1620000 5.35709
1630000 5.34778
1640000 5.33902
1650000 5.32994
1660000 5.32109
1670000 5.31573
1680000 5.31274
1690000 5.31118
1700000 5.31101
1710000 5.30966
1720000 5.30648
1730000 5.30597
1740000 5.30438
1750000 5.30215
1760000 5.30221
1770000 5.3006
1780000 5.29882
1790000 5.29441
1800000 5.29263
1810000 5.2927
1820000 5.29336
1830000 5.29335
1840000 5.29186
1850000 5.29291
1860000 5.29407
1870000 5.2918
1880000 5.28666
1890000 5.27996
1900000 5.27649
1910000 5.27443
1920000 5.27422
1930000 5.275
1940000 5.2746
1950000 5.27183
1960000 5.26615
1970000 5.26003
1980000 5.25256
1990000 5.24662
2000000 5.24298
2010000 5.24196
2020000 5.24175
2030000 5.24053
2040000 5.23959
2050000 5.23897
2060000 5.23853
2070000 5.23838
2080000 5.23618
2090000 5.23401
2100000 5.23099
2110000 5.22626
2120000 5.22082
2130000 5.21355
2140000 5.20858
2150000 5.20432
2160000 5.19948
2170000 5.19424
2180000 5.19056
2190000 5.1863
2200000 5.18402
2210000 5.18143
