# Time-averaged data for fix aveRg
# TimeStep c_Rg
20000 5.46555
30000 5.25798
40000 5.11098
50000 4.98483
60000 4.88938
70000 4.79367
80000 4.69032
90000 4.59944
100000 4.53831
110000 4.4309
120000 4.35989
130000 4.32708
140000 4.28965
150000 4.24369
160000 4.18951
170000 4.16915
180000 4.14624
190000 4.13828
200000 4.12997
210000 4.12114
220000 4.10451
230000 4.0962
240000 4.08011
250000 4.05398
260000 4.04601
270000 4.0388
280000 4.03633
290000 4.01051
300000 3.98934
310000 3.969
320000 3.93087
330000 3.88548
340000 3.84323
350000 3.80961
360000 3.77234
370000 3.74606
380000 3.71637
390000 3.69375
400000 3.66729
410000 3.64285
420000 3.62064
430000 3.613
440000 3.60616
450000 3.59813
460000 3.58392
470000 3.56126
480000 3.54786
490000 3.53045
500000 3.51721
510000 3.50494
520000 3.49353
530000 3.48871
540000 3.48913
550000 3.48213
560000 3.48564
570000 3.49176
580000 3.49135
590000 3.48978
600000 3.48683
610000 3.49033
620000 3.50014
630000 3.50007
640000 3.51019
650000 3.51899
660000 3.52278
670000 3.52221
680000 3.52717
690000 3.53684
700000 3.54856
710000 3.55208
720000 3.5525
730000 3.55821
740000 3.56399
750000 3.56265
760000 3.56401
770000 3.57214
780000 3.58123
790000 3.58655
800000 3.59314
810000 3.61137
820000 3.63078
830000 3.63781
840000 3.64346
850000 3.64984
860000 3.64973
870000 3.65275
880000 3.65332
890000 3.65426
900000 3.65711
910000 3.65976
920000 3.65829
930000 3.65959
940000 3.6588
950000 3.65257
960000 3.64327
970000 3.6318
980000 3.61973
990000 3.6112
1000000 3.60205
1010000 3.59125
1020000 3.58177
1030000 3.57221
1040000 3.56866
1050000 3.56286
1060000 3.55898
1070000 3.55723
1080000 3.56225
1090000 3.56803
1100000 3.57201
1110000 3.57807
1120000 3.58236
1130000 3.58494
1140000 3.59034
1150000 3.59974
1160000 3.60846
1170000 3.6165
1180000 3.62442
1190000 3.63619
1200000 3.64518
1210000 3.6551
1220000 3.66403
1230000 3.66774
1240000 3.66786
1250000 3.6664
1260000 3.66779
1270000 3.66383
1280000 3.66418
1290000 3.66741
1300000 3.66806
1310000 3.66912
